model,dataset,strategy,n,accuracy,acc_before,acc_after,net_score,fix_rate,regression_rate,cc,cw,wc,ww
llama,gsm8k,baseline,1319,84.0,,,,,,,,,
llama,gsm8k,cot,1319,84.0,,,,,,,,,
llama,gsm8k,self_consistency,1319,87.04,,,,,,,,,
llama,gsm8k,s1,1319,51.63,84.0,51.63,-427,21.33,42.6,636,472,45,166
llama,gsm8k,s2,1319,56.56,84.0,56.56,-362,25.12,37.45,693,415,53,158
llama,gsm8k,s3,1319,61.94,84.0,61.94,-291,16.11,29.33,783,325,34,177
llama,gsm8k,s4,1319,84.08,84.0,84.08,1,0.47,0.0,1108,0,1,210
llama,gsm8k,s5,1319,60.96,84.0,60.96,-304,17.54,30.78,767,341,37,174
llama,triviaqa,baseline,1000,76.2,,,,,,,,,
llama,triviaqa,cot,1000,76.0,,,,,,,,,
llama,triviaqa,self_consistency,1000,74.0,,,,,,,,,
llama,triviaqa,s1,1000,75.1,76.2,75.1,-11,27.73,10.1,685,77,66,172
llama,triviaqa,s2,1000,82.7,76.2,82.7,65,35.29,2.49,743,19,84,154
llama,triviaqa,s3,1000,78.6,76.2,78.6,24,28.57,5.77,718,44,68,170
llama,triviaqa,s4,1000,76.7,76.2,76.7,5,2.1,0.0,762,0,5,233
llama,triviaqa,s5,1000,82.1,76.2,82.1,59,34.87,3.15,738,24,83,155
llama,strategyqa,baseline,2290,68.08,,,,,,,,,
llama,strategyqa,cot,2290,60.31,,,,,,,,,
llama,strategyqa,self_consistency,2290,59.91,,,,,,,,,
llama,strategyqa,s1,2290,49.08,68.82,49.08,-452,46.08,49.56,795,781,329,385
llama,strategyqa,s2,2290,59.3,68.82,59.3,-218,46.08,34.71,1029,547,329,385
llama,strategyqa,s3,2290,56.29,68.82,56.29,-287,44.96,38.58,968,608,321,393
llama,strategyqa,s4,2290,68.38,68.82,68.38,-10,0.42,0.82,1563,13,3,711
llama,strategyqa,s5,2290,45.07,68.82,45.07,-544,53.64,58.82,649,927,383,331
llama,humaneval,baseline,164,35.37,,,,,,,,,
llama,humaneval,cot,164,37.8,,,,,,,,,
llama,humaneval,self_consistency,164,29.27,,,,,,,,,
llama,humaneval,s1,164,17.68,35.37,17.68,-29,5.66,60.34,23,35,6,100
llama,humaneval,s2,164,41.46,35.37,41.46,10,21.7,22.41,45,13,23,83
llama,humaneval,s3,164,18.29,35.37,18.29,-28,6.6,60.34,23,35,7,99
llama,humaneval,s4,164,35.37,35.37,35.37,0,0.0,0.0,58,0,0,106
llama,humaneval,s5,164,23.78,35.37,23.78,-19,7.55,46.55,31,27,8,98
mistral,gsm8k,baseline,1319,58.91,,,,,,,,,
mistral,gsm8k,cot,1319,57.7,,,,,,,,,
mistral,gsm8k,self_consistency,1319,57.39,,,,,,,,,
mistral,gsm8k,s1,1319,55.88,58.91,55.88,-40,0.74,5.66,733,44,4,538
mistral,gsm8k,s2,1319,58.98,58.91,58.98,1,1.11,0.64,772,5,6,536
mistral,gsm8k,s3,1319,55.57,58.91,55.57,-44,0.74,6.18,729,48,4,538
mistral,gsm8k,s4,1319,58.83,58.91,58.83,-1,0.0,0.13,776,1,0,542
mistral,gsm8k,s5,1319,51.78,58.91,51.78,-94,2.4,13.77,670,107,13,529
mistral,triviaqa,baseline,1000,77.7,,,,,,,,,
mistral,triviaqa,cot,1000,78.6,,,,,,,,,
mistral,triviaqa,self_consistency,1000,78.5,,,,,,,,,
mistral,triviaqa,s1,1000,77.6,77.7,77.6,-1,1.79,0.64,772,5,4,219
mistral,triviaqa,s2,1000,77.6,77.7,77.6,-1,2.24,0.77,771,6,5,218
mistral,triviaqa,s3,1000,77.6,77.7,77.6,-1,1.79,0.64,772,5,4,219
mistral,triviaqa,s4,1000,77.7,77.7,77.7,0,0.0,0.0,777,0,0,223
mistral,triviaqa,s5,1000,73.1,77.7,73.1,-46,2.69,6.69,725,52,6,217
mistral,strategyqa,baseline,2290,60.66,,,,,,,,,
mistral,strategyqa,cot,2290,59.61,,,,,,,,,
mistral,strategyqa,self_consistency,2290,60.13,,,,,,,,,
mistral,strategyqa,s1,2290,19.65,62.01,19.65,-970,1.38,69.15,438,982,12,858
mistral,strategyqa,s2,2290,52.01,62.01,52.01,-229,10.34,22.46,1101,319,90,780
mistral,strategyqa,s3,2290,18.52,62.01,18.52,-996,1.84,71.27,408,1012,16,854
mistral,strategyqa,s4,2290,62.1,62.01,62.1,2,0.23,0.0,1420,0,2,868
mistral,strategyqa,s5,2290,32.75,62.01,32.75,-670,50.57,78.17,310,1110,440,430
mistral,humaneval,baseline,164,17.07,,,,,,,,,
mistral,humaneval,cot,164,29.27,,,,,,,,,
mistral,humaneval,self_consistency,164,23.17,,,,,,,,,
mistral,humaneval,s1,164,21.34,17.07,21.34,7,13.24,39.29,17,11,18,118
mistral,humaneval,s2,164,20.12,17.07,20.12,5,12.5,42.86,16,12,17,119
mistral,humaneval,s3,164,22.56,17.07,22.56,9,14.71,39.29,17,11,20,116
mistral,humaneval,s4,164,17.68,17.07,17.68,1,0.74,0.0,28,0,1,135
mistral,humaneval,s5,164,0.0,17.07,0.0,-28,0.0,100.0,0,28,0,136
qwen,gsm8k,baseline,1319,73.77,,,,,,,,,
qwen,gsm8k,cot,1319,83.62,,,,,,,,,
qwen,gsm8k,self_consistency,1319,82.49,,,,,,,,,
qwen,gsm8k,s1,1319,67.25,73.77,67.25,-86,1.45,9.35,882,91,5,341
qwen,gsm8k,s2,1319,69.07,73.77,69.07,-62,3.18,7.5,900,73,11,335
qwen,gsm8k,s3,1319,91.21,91.36,91.21,-2,7.89,0.91,1194,11,9,105
qwen,gsm8k,s4,1319,68.01,73.77,68.01,-76,1.45,8.32,892,81,5,341
qwen,gsm8k,s5,1319,91.28,91.36,91.28,-1,2.63,0.33,1201,4,3,111
qwen,triviaqa,baseline,1000,62.3,,,,,,,,,
qwen,triviaqa,cot,1000,56.8,,,,,,,,,
qwen,triviaqa,self_consistency,1000,57.1,,,,,,,,,
qwen,triviaqa,s1,1000,38.2,59.2,38.2,-210,0.25,35.64,381,211,1,407
qwen,triviaqa,s2,1000,37.1,59.2,37.1,-221,0.25,37.5,370,222,1,407
qwen,triviaqa,s3,1000,65.2,62.3,65.2,29,11.14,2.09,610,13,42,335
qwen,triviaqa,s4,1000,55.9,59.2,55.9,-33,0.0,5.57,559,33,0,408
qwen,triviaqa,s5,1000,71.6,62.3,71.6,93,25.99,0.8,618,5,98,279
qwen,strategyqa,baseline,2290,67.77,,,,,,,,,
qwen,strategyqa,cot,2290,72.05,,,,,,,,,
qwen,strategyqa,self_consistency,2290,66.64,,,,,,,,,
qwen,strategyqa,s1,2290,52.93,67.77,52.93,-340,7.32,25.39,1158,394,54,684
qwen,strategyqa,s2,2290,51.18,67.77,51.18,-380,17.75,32.93,1041,511,131,607
qwen,strategyqa,s3,2290,68.12,67.64,68.12,11,18.35,8.07,1424,125,136,605
qwen,strategyqa,s4,2290,67.64,67.64,67.64,0,0.27,0.13,1547,2,2,739
qwen,strategyqa,s5,2290,67.34,67.64,67.34,-7,9.85,5.16,1469,80,73,668
qwen,humaneval,baseline,164,71.95,,,,,,,,,
qwen,humaneval,cot,164,60.37,,,,,,,,,
qwen,humaneval,self_consistency,164,57.93,,,,,,,,,
qwen,humaneval,s1,164,45.73,71.95,45.73,-43,2.17,37.29,74,44,1,45
qwen,humaneval,s2,164,66.46,71.95,66.46,-9,6.52,10.17,106,12,3,43
qwen,humaneval,s3,164,40.85,71.95,40.85,-51,2.17,44.07,66,52,1,45
qwen,humaneval,s4,164,45.73,71.95,45.73,-43,2.17,37.29,74,44,1,45
qwen,humaneval,s5,164,34.76,71.95,34.76,-61,0.0,51.69,57,61,0,46
